Отметка времени	Тип проблемы	Название продукта	Ссылка на пуш в репе	Комментарий
17.03.2022 13:05:07	Политические лозунги	Список github проектов с лозунгами	https://github.com/vshymanskyy/StandWithUkraine#projects-that-standwithukraine	Список github проектов с лозунгами
17.03.2022 13:07:35	Политические лозунги	Notepad++	https://notepad-plus-plus.org/downloads/	Политические лозунги в наименовании релиза
17.03.2022 13:08:22	Политические лозунги	@russia-sanctions/base	https://github.com/Russia-Sanctions/Base	Просто пакет, который предлагается включать, чтобы выводить политические лозунги
17.03.2022 13:09:49	Политические лозунги	React Native website	https://github.com/facebook/react-native-website/pull/2986	Баннер в поддержку украины. Автор: https://github.com/dmitryvinn
17.03.2022 13:14:54	Политические лозунги	mailtrap.io	https://mailtrap.io/	Ужас
17.03.2022 13:24:13	Политические лозунги	The unarchiver.app	https://macpaw.com/news/macpaw-amidst-aggression	Дополнительное окно с кнопкой «Узнайте правду о происходящем на Украине».
17.03.2022 13:55:17	Политические лозунги	ebastianbergmann	https://github.com/sebastianbergmann/phpunit/commit/4634e702b5f05f5e948e531eb8b4fc19be40610c	политика
17.03.2022 14:01:40	Политические лозунги	Codeception	https://github.com/Codeception/Codeception/commit/d6b7af9233124652b0425217d633e034bfa9bf2b	Выводит в консоли ссылку на https://helpukrainewin.org
17.03.2022 14:03:28	Политические лозунги	evolution	https://github.com/evolution-cms/evolution/commit/1c586bc76f739264dcf0482530945875fa444b77	Полит лозунг в cms
17.03.2022 14:06:54	Политические лозунги	React docs	не знаю	ru.reactjs.org и reactjs.org
17.03.2022 14:11:39	Политические лозунги	Набор обновлений UpdatePack7R2 для Windows 7 SP1 и Server 2008 R2 SP1	https://blog.simplix.info/update7/	;Мартовское обновление не устанавливается. По информации в ченджлоге: История изменений
22.3.11 … Из-за военного вторжения работа программы на территории России и Беларуси ограничена;
17.03.2022 14:15:18	Политические лозунги	Docusaurus	https://github.com/facebook/docusaurus/pull/6811	Опенсорс проект http://docusaurus.io/
17.03.2022 14:15:45	Политические лозунги	Codeception for PHP	https://github.com/Codeception/Codeception/commit/eefe1abc60500c0516b85131cbbfbb9a22899db4	при запуске в консоли выводится "Codeception PHP Testing Framework v4.1.31 https://helpukrainewin.org"
