Отметка времени	Тип проблемы	Название продукта	Ссылка на пуш в репе	Комментарий
18.03.2022 12:56:12	Одумались	Unity Hub	https://forum.unity.com/threads/hub-3-1-0-node-icp-incident.1254597/	Разработчики утверждают,  что сделали хотфикс и начали работу по аудиту безопасности.
17.03.2022 22:13:15	Одумались	Tasmota	https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88	tasmota убрали весь вредоносный код
