contributor,repo_with_contributor_PR,contributor_PR,reason_for_inclusion_of_the_contributor_in_the_list,comment_to_the_reason
Anarios,https://github.com/Anarios/return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike/pull/515,Политические лозунги,";Добавление на главную страницу украинского флага и ссылки на сайт для поддержки украинской армии;; + интересная строка в комментарии одного из разработчиков (https://github.com/Anarios/return-youtube-dislike/graphs/contributors): https://github.com/Anarios/return-youtube-dislike/issues/497 ""https://returnyoutubedislikeapi.com/ is blocked in Russia. If you are there, you won't be able to view or submit dislike votes unless you use a proxy or a VPN."""
dmitryvinn,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/198,Политические лозунги,Опенсорс проект http://docusaurus.io/
medikoo,https://github.com/github/advisory-database,https://github.com/github/advisory-database/pull/179,"Малварь, шифровальщик или иные фатальные угрозы",Малварь
medikoo,https://github.com/github/advisory-database,https://github.com/github/advisory-database/pull/179,"Малварь, шифровальщик или иные фатальные угрозы","Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/102,Политические лозунги,Список github проектов с лозунгами
medikoo,https://github.com/serverless/serverless,https://github.com/serverless/serverless/pull/10927,"Малварь, шифровальщик или иные фатальные угрозы",Малварь
medikoo,https://github.com/serverless/serverless,https://github.com/serverless/serverless/pull/10927,"Малварь, шифровальщик или иные фатальные угрозы","Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
Anarios,https://github.com/Anarios/return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike/pull/517,Политические лозунги,";Добавление на главную страницу украинского флага и ссылки на сайт для поддержки украинской армии;; + интересная строка в комментарии одного из разработчиков (https://github.com/Anarios/return-youtube-dislike/graphs/contributors): https://github.com/Anarios/return-youtube-dislike/issues/497 ""https://returnyoutubedislikeapi.com/ is blocked in Russia. If you are there, you won't be able to view or submit dislike votes unless you use a proxy or a VPN."""
vshymanskyy,https://github.com/wasm3/wasm3,https://github.com/wasm3/wasm3/pull/316,Политические лозунги,Список github проектов с лозунгами
dmitryvinn,https://github.com/facebook/CacheLib,https://github.com/facebook/CacheLib/pull/121,Политические лозунги,Опенсорс проект http://docusaurus.io/
medikoo,https://github.com/serverless/serverless-plugin-typescript,https://github.com/serverless/serverless-plugin-typescript/pull/267,"Малварь, шифровальщик или иные фатальные угрозы",Малварь
medikoo,https://github.com/serverless/serverless-plugin-typescript,https://github.com/serverless/serverless-plugin-typescript/pull/267,"Малварь, шифровальщик или иные фатальные угрозы","Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
Anarios,https://github.com/Anarios/return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike/pull/451,Политические лозунги,";Добавление на главную страницу украинского флага и ссылки на сайт для поддержки украинской армии;; + интересная строка в комментарии одного из разработчиков (https://github.com/Anarios/return-youtube-dislike/graphs/contributors): https://github.com/Anarios/return-youtube-dislike/issues/497 ""https://returnyoutubedislikeapi.com/ is blocked in Russia. If you are there, you won't be able to view or submit dislike votes unless you use a proxy or a VPN."""
dmitryvinn,https://github.com/facebookresearch/vissl,https://github.com/facebookresearch/vissl/pull/530,Политические лозунги,Опенсорс проект http://docusaurus.io/
medikoo,https://github.com/serverless/serverless-plugin-typescript,https://github.com/serverless/serverless-plugin-typescript/pull/128,"Малварь, шифровальщик или иные фатальные угрозы",Малварь
medikoo,https://github.com/serverless/serverless-plugin-typescript,https://github.com/serverless/serverless-plugin-typescript/pull/128,"Малварь, шифровальщик или иные фатальные угрозы","Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/101,Политические лозунги,Список github проектов с лозунгами
dmitryvinn,https://github.com/facebookincubator/Glean,https://github.com/facebookincubator/Glean/pull/103,Политические лозунги,Опенсорс проект http://docusaurus.io/
Anarios,https://github.com/Anarios/return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike/pull/435,Политические лозунги,";Добавление на главную страницу украинского флага и ссылки на сайт для поддержки украинской армии;; + интересная строка в комментарии одного из разработчиков (https://github.com/Anarios/return-youtube-dislike/graphs/contributors): https://github.com/Anarios/return-youtube-dislike/issues/497 ""https://returnyoutubedislikeapi.com/ is blocked in Russia. If you are there, you won't be able to view or submit dislike votes unless you use a proxy or a VPN."""
medikoo,https://github.com/dherault/serverless-offline,https://github.com/dherault/serverless-offline/pull/1361,"Малварь, шифровальщик или иные фатальные угрозы",Малварь
medikoo,https://github.com/dherault/serverless-offline,https://github.com/dherault/serverless-offline/pull/1361,"Малварь, шифровальщик или иные фатальные угрозы","Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/100,Политические лозунги,Список github проектов с лозунгами
dmitryvinn,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/691,Политические лозунги,Опенсорс проект http://docusaurus.io/
Anarios,https://github.com/Anarios/return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike/pull/512,Политические лозунги,";Добавление на главную страницу украинского флага и ссылки на сайт для поддержки украинской армии;; + интересная строка в комментарии одного из разработчиков (https://github.com/Anarios/return-youtube-dislike/graphs/contributors): https://github.com/Anarios/return-youtube-dislike/issues/497 ""https://returnyoutubedislikeapi.com/ is blocked in Russia. If you are there, you won't be able to view or submit dislike votes unless you use a proxy or a VPN."""
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/99,Политические лозунги,Список github проектов с лозунгами
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/98,Политические лозунги,Список github проектов с лозунгами
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/96,Политические лозунги,Список github проектов с лозунгами
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/38,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/37,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/36,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/35,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/28,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/25,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/34,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/26,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/34,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/32,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
terraform-aws-modules,https://github.com/terraform-aws-modules/terraform-aws-lambda,https://github.com/terraform-aws-modules/terraform-aws-lambda/pull/300,"Малварь, шифровальщик или иные фатальные угрозы","все модули AWS для Terraform поддерживаемые сообществом, также сдублировалось в официальный Registry (https://registry.terraform.io/modules/terraform-aws-modules/vpc/aws/latest), внимание на ""дополнительные соглашения"" внизу README каждого модуля."
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/102,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
Naktibalda,https://github.com/Codeception/Codeception,https://github.com/Codeception/Codeception/pull/6426,Политические лозунги,Выводит в консоли ссылку на https://helpukrainewin.org
medikoo,https://github.com/github/advisory-database,https://github.com/github/advisory-database/pull/179,Политические лозунги,anti-war manifest
terraform-aws-modules,https://github.com/terraform-aws-modules/terraform-aws-lambda,https://github.com/terraform-aws-modules/terraform-aws-lambda/pull/300,"Малварь, шифровальщик или иные фатальные угрозы","все модули AWS для Terraform поддерживаемые сообществом, также сдублировалось в официальный Registry (https://registry.terraform.io/modules/terraform-aws-modules/vpc/aws/latest), внимание на ""дополнительные соглашения"" внизу README каждого модуля."
KickflipCli,https://github.com/KickflipCli/kickflip-src,https://github.com/KickflipCli/kickflip-src/pull/30,Политические лозунги,"Генератор фейковых сайтов по шаблону с ключевыми словами и призывами (одного мейнтейнера уже забанили за национальную рознь, другой продолжает работу)"
vshymanskyy,https://github.com/wasm3/wasm3,https://github.com/wasm3/wasm3/pull/316,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
Naktibalda,https://github.com/Codeception/Codeception,https://github.com/Codeception/Codeception/pull/6423,Политические лозунги,Выводит в консоли ссылку на https://helpukrainewin.org
medikoo,https://github.com/serverless/serverless,https://github.com/serverless/serverless/pull/10927,Политические лозунги,anti-war manifest
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/101,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
medikoo,https://github.com/serverless/serverless-plugin-typescript,https://github.com/serverless/serverless-plugin-typescript/pull/267,Политические лозунги,anti-war manifest
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/100,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
medikoo,https://github.com/serverless/serverless-plugin-typescript,https://github.com/serverless/serverless-plugin-typescript/pull/128,Политические лозунги,anti-war manifest
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/99,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
medikoo,https://github.com/dherault/serverless-offline,https://github.com/dherault/serverless-offline/pull/1361,Политические лозунги,anti-war manifest
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/98,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
vshymanskyy,https://github.com/vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/pull/96,Политические лозунги,Список интегрировавших к себе призывы задонатить вна Украину в README.md
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/134,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/131,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/111,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/119,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/114,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/112,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/110,Политические лозунги,Массовый спам issues в репозиториях
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/134,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/131,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/111,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/119,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/114,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/112,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
stop-war-in-ukraine,https://github.com/stop-war-in-ukraine/stop-russia-it,https://github.com/stop-war-in-ukraine/stop-russia-it/pull/110,"Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки","По ссылке список сервисов, ссылок на обсуждения, петиции на change.org"
sebastianbergmann,https://github.com/sebastianbergmann/environment,https://github.com/sebastianbergmann/environment/pull/63,Политические лозунги,Шильдик #StandWithUkraine
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/42,Политические лозунги,Политический баннер #StandWithUkraine
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/45,Политические лозунги,Политический баннер #StandWithUkraine
denysdovhan,https://github.com/Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core/pull/97933,Политические лозунги,Политический баннер #StandWithUkraine
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/42,Политические лозунги,Политический баннер #StandWithUkraine
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/36,Политические лозунги,Политический баннер #StandWithUkraine
MidSpike,https://github.com/Inertia-Lighting/discord-bot-api-server,https://github.com/Inertia-Lighting/discord-bot-api-server/pull/241,"Малварь, шифровальщик или иные фатальные угрозы","Может удалить все файлы на PC. В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. Появились сообщения о том, что уязвимость откатили ( https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320 )"
MidSpike,https://github.com/Inertia-Lighting/discord-bot-api-server,https://github.com/Inertia-Lighting/discord-bot-api-server/pull/240,"Малварь, шифровальщик или иные фатальные угрозы","Может удалить все файлы на PC. В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. Появились сообщения о том, что уязвимость откатили ( https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320 )"
MidSpike,https://github.com/Inertia-Lighting/discord-bot-api-server,https://github.com/Inertia-Lighting/discord-bot-api-server/pull/240,"Малварь, шифровальщик или иные фатальные угрозы","Может удалить все файлы на PC. В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. Появились сообщения о том, что уязвимость откатили ( https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320 )"
MidSpike,https://github.com/MidSpike/iris-utilities,https://github.com/MidSpike/iris-utilities/pull/145,"Малварь, шифровальщик или иные фатальные угрозы","Может удалить все файлы на PC. В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. Появились сообщения о том, что уязвимость откатили ( https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320 )"
MidSpike,https://github.com/MidSpike/iris-utilities,https://github.com/MidSpike/iris-utilities/pull/146,"Малварь, шифровальщик или иные фатальные угрозы","Может удалить все файлы на PC. В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии. Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. Появились сообщения о том, что уязвимость откатили ( https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320 )"
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/42,Политические лозунги,Баннер #StandWithUkraine
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9439,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/45,Политические лозунги,Баннер #StandWithUkraine
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9438,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
denysdovhan,https://github.com/Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core/pull/97933,Политические лозунги,Баннер #StandWithUkraine
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9437,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/42,Политические лозунги,Баннер #StandWithUkraine
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9343,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
denysdovhan,https://github.com/wix-incubator/autoviews,https://github.com/wix-incubator/autoviews/pull/36,Политические лозунги,Баннер #StandWithUkraine
kamilmysliwiec,https://github.com/nestjs/config,https://github.com/nestjs/config/pull/915,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
kamilmysliwiec,https://github.com/nestjs/docs.nestjs.com,https://github.com/nestjs/docs.nestjs.com/pull/2266,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9418,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9423,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
kamilmysliwiec,https://github.com/nestjs/nest,https://github.com/nestjs/nest/pull/9431,Политические лозунги,"В документации полит. лозунг ""STOP RUSSIA'S INVASION OF UKRAINE"""
dmitryvinn-fb,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/703,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
dmitryvinn-fb,https://github.com/facebook/fresco,https://github.com/facebook/fresco/pull/2661,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
dmitryvinn-fb,https://github.com/facebook/buck,https://github.com/facebook/buck/pull/2688,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
dmitryvinn-fb,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/198,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
dmitryvinn-fb,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/197,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
juanpicado,https://github.com/verdaccio/verdaccio,https://github.com/verdaccio/verdaccio/pull/3079,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookincubator/spectrum,https://github.com/facebookincubator/spectrum/pull/1840,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
juanpicado,https://github.com/verdaccio/github-actions,https://github.com/verdaccio/github-actions/pull/23,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookincubator/spectrum,https://github.com/facebookincubator/spectrum/pull/1840,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
juanpicado,https://github.com/verdaccio/github-actions,https://github.com/verdaccio/github-actions/pull/21,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/CacheLib,https://github.com/facebook/CacheLib/pull/121,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
juanpicado,https://github.com/verdaccio/verdaccio,https://github.com/verdaccio/verdaccio/pull/3095,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookresearch/vissl,https://github.com/facebookresearch/vissl/pull/530,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
juanpicado,https://github.com/pnpm/pnpm.github.io,https://github.com/pnpm/pnpm.github.io/pull/238,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookincubator/Glean,https://github.com/facebookincubator/Glean/pull/103,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
juanpicado,https://github.com/verdaccio/verdaccio,https://github.com/verdaccio/verdaccio/pull/3100,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/691,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
dmitryvinn-fb,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/690,Политические лозунги,"Баннер ""Поддержите Украину"" на сайте с документацией"
danilo-leal,https://github.com/danilo-leal/tailwind-para-designers,https://github.com/danilo-leal/tailwind-para-designers/pull/2,Политические лозунги,Баннер в поддержку Украины
danilo-leal,https://github.com/danilo-leal/daniloleal.co,https://github.com/danilo-leal/daniloleal.co/pull/6,Политические лозунги,Баннер в поддержку Украины
DavertMik,https://github.com/testomatio/reporter,https://github.com/testomatio/reporter/pull/51,Политические лозунги,"при запуске в консоли выводится ""Codeception PHP Testing Framework v4.1.31 https://helpukrainewin.org"""
DavertMik,https://github.com/Codeception/Codeception,https://github.com/Codeception/Codeception/pull/6406,Политические лозунги,"при запуске в консоли выводится ""Codeception PHP Testing Framework v4.1.31 https://helpukrainewin.org"""
dmitryvinn-fb,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/703,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/fresco,https://github.com/facebook/fresco/pull/2661,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/buck,https://github.com/facebook/buck/pull/2688,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/198,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/197,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookincubator/spectrum,https://github.com/facebookincubator/spectrum/pull/1840,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookincubator/spectrum,https://github.com/facebookincubator/spectrum/pull/1840,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/CacheLib,https://github.com/facebook/CacheLib/pull/121,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookresearch/vissl,https://github.com/facebookresearch/vissl/pull/530,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebookincubator/Glean,https://github.com/facebookincubator/Glean/pull/103,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/691,Политические лозунги,Баннер в поддержку украины
dmitryvinn-fb,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/690,Политические лозунги,Баннер в поддержку украины
sebastianbergmann,https://github.com/sebastianbergmann/environment,https://github.com/sebastianbergmann/environment/pull/63,Политические лозунги,политика
